Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
Costamp Group S.p.A.,-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Supplier,Industrial Machinery and Supplies and Components,Costamp Group S.p.A. - Form ,"Costamp Group S.p.A. manufactures and sells casting dies for automotive and industrial applications. The company offers aluminum and magnesium die castings for HPDC machines; low pressure and gravity dies for cylinder heads and crankcases; core boxes for inorganic processes; and injection molding tools and co-injection moulds for thermoplastics. It also manufactures and sells die holders; and provides Castle, a software solution for the die-casting industry. Costamp Group S.p.A. was founded in 1968 and is headquartered in Sirone, Italy."
Crédit Agricole Corporate and Investment Bank,-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Crédit Agricole Corporate and Investment Bank provides structured finance, capital markets, investment and corporate banking, and wealth management services worldwide. It offers mergers and acquisitions advisory, equity capital markets, and strategic equity transaction services; and structured finance solutions, such as financing for air transportation and rail, shipping, real estate and lodging, natural resources, infrastructure, and power sectors, as well as acquisition finance solutions. The company also engages in the sale and trading of products in primary and secondary markets for corporates, financial institutions, and large issuers; and linear/rates and structured products, debt capital markets, global syndicate and credit trading, treasury, foreign exchange and precious metals, and securitization. In addition, it provides transaction banking, trade finance, and export and commodity finance services; and sustainable banking services for agriculture and food processing, housing, health and population ageing, and energy saving and environment. Further, the company offers Renminbi services, including current account and cross-border transfers, FX, investment products, interest rate hedging products, and debt capital markets; Islamic banking services, such as strategic advice, risk management, and capital raising services. Crédit Agricole Corporate and Investment Bank was formerly known as Calyon SA and changed its name to Crédit Agricole Corporate and Investment Bank in February 2010. The company was incorporated in 1973 and is based in Montrouge, France. Crédit Agricole Corporate and Investment Bank operates as a subsidiary of Crédit Agricole S.A."
Crédit Agricole Corporate and Investment Bank,-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Crédit Agricole Corporate and Investment Bank provides structured finance, capital markets, investment and corporate banking, and wealth management services worldwide. It offers mergers and acquisitions advisory, equity capital markets, and strategic equity transaction services; and structured finance solutions, such as financing for air transportation and rail, shipping, real estate and lodging, natural resources, infrastructure, and power sectors, as well as acquisition finance solutions. The company also engages in the sale and trading of products in primary and secondary markets for corporates, financial institutions, and large issuers; and linear/rates and structured products, debt capital markets, global syndicate and credit trading, treasury, foreign exchange and precious metals, and securitization. In addition, it provides transaction banking, trade finance, and export and commodity finance services; and sustainable banking services for agriculture and food processing, housing, health and population ageing, and energy saving and environment. Further, the company offers Renminbi services, including current account and cross-border transfers, FX, investment products, interest rate hedging products, and debt capital markets; Islamic banking services, such as strategic advice, risk management, and capital raising services. Crédit Agricole Corporate and Investment Bank was formerly known as Calyon SA and changed its name to Crédit Agricole Corporate and Investment Bank in February 2010. The company was incorporated in 1973 and is based in Montrouge, France. Crédit Agricole Corporate and Investment Bank operates as a subsidiary of Crédit Agricole S.A."
Crédit Agricole Corporate and Investment Bank,-,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Crédit Agricole Corporate and Investment Bank provides structured finance, capital markets, investment and corporate banking, and wealth management services worldwide. It offers mergers and acquisitions advisory, equity capital markets, and strategic equity transaction services; and structured finance solutions, such as financing for air transportation and rail, shipping, real estate and lodging, natural resources, infrastructure, and power sectors, as well as acquisition finance solutions. The company also engages in the sale and trading of products in primary and secondary markets for corporates, financial institutions, and large issuers; and linear/rates and structured products, debt capital markets, global syndicate and credit trading, treasury, foreign exchange and precious metals, and securitization. In addition, it provides transaction banking, trade finance, and export and commodity finance services; and sustainable banking services for agriculture and food processing, housing, health and population ageing, and energy saving and environment. Further, the company offers Renminbi services, including current account and cross-border transfers, FX, investment products, interest rate hedging products, and debt capital markets; Islamic banking services, such as strategic advice, risk management, and capital raising services. Crédit Agricole Corporate and Investment Bank was formerly known as Calyon SA and changed its name to Crédit Agricole Corporate and Investment Bank in February 2010. The company was incorporated in 1973 and is based in Montrouge, France. Crédit Agricole Corporate and Investment Bank operates as a subsidiary of Crédit Agricole S.A."
CT Automotive Group plc (AIM:CTA),AIM:CTA,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,CT Automotive Group plc (AIM:CTA) 2024 Form ,"CT Automotive Group plc designs, develops, manufactures, and supplies automotive interior components and kinematic assemblies for automotive brands in the United Kingdom and internationally. The company operates through Tooling and Production segments. It offers air registers; wrapped trim panels, shifter assemblies, and lid consoles; decorative finishes; mechanical assemblies, including deployable cup holders, docking stations, and storage bins; light guides; and HVAC doors and assemblies. The company also design, development, and sells tooling products. It serves its products to automotive original equipment suppliers and tier-one manufacturers. CT Automotive Group plc was founded in 2000 and is headquartered in Portsmouth, the United Kingdom."
"CTR Mobility Co.,Ltd. (KOSE:A308170)",KOSE:A308170,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,"CTR Mobility Co.,Ltd. (KOSE:A308170) - Form ","CTR Mobility Co.,Ltd. engages in the automobile parts business in South Korea and internationally. It offers suspension parts, including screws, propeller shafts, axles, control arms and drive shafts; and driving parts, such as rotor shafts, inner laces, clutch bosses, and ball screws. The company was formerly known as CENTRAL MOTEK Co.Ltd. and changed its name to CTR Mobility Co.,Ltd. in April 2023. CTR Mobility Co.,Ltd. was founded in 1994 and is headquartered in Ulsan, South Korea."
DAE-IL Corporation (KOSE:A092200),KOSE:A092200,GM Korea Company Ltd.,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,DAE-IL Corporation (KOSE:A092200) - Form ,"DAE-IL Corporation produces gears and shafts for power transmission devices in South Korea and internationally. It engages in the production, assembly, and supply transmission products for light passenger vehicles, 6-speed sun gears, 7-speed and 8-speed dual clutch transmissions, and electric vehicle reducers. The company also manufactures electric automobiles, motorcycles, and trucks. In addition, it exports its products. DAE-IL Corporation was founded in 1976 and is headquartered in Ulsan, South Korea."
"Dalian Haosen Intelligent Manufacturing Co., Ltd. (SHSE:688529)",SHSE:688529,SAIC General Motors Corporation Limited,"Subsidiary/Investment
                         ",Supplier,Industrial Machinery and Supplies and Components,"Dalian Haosen Intelligent Manufacturing Co., Ltd. (SHSE:688529) - Form ","Dalian Haosen Intelligent Manufacturing Co., Ltd. engages in planning, research and development, design, assembly, debugging and integration, sale, service, and turn-key engineering of intelligent production lines in China. It offers power lithium battery intelligent products, such as lithium cell, battery, and pack line products; and hydrogen fuel battery products comprising fuel cell MEA/GDL, bipolar plate, battery stack, engine, and cell stack and system test bench products. The company also provides EV drive motor intelligent production line, which include stator, rotor, final assembly, and motor test bench products; e-drive assembly and test line; gasoline and diesel, horsepower diesel engine assembly line; and retarder assembly and bench test. In addition, it offers transmission intelligent assembly products including AT, DCT, and CVT transmission assembly, hybrid power and commercial truck transmission, and transmission bench test; laser technology and equipment; manufacturing execution and BIM/PLM software systems; and intelligent logistical warehousing. The company was formerly known as Dalian Haosen Equipment Manufacturing Co., Ltd. and changed its name to Dalian Haosen Intelligent Manufacturing Co., Ltd. The company was founded in 2002 and is headquartered in Dalian, China."
Dana Incorporated (NYSE:DAN),NYSE:DAN,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,Dana Incorporated (NYSE:DAN) 2024 Form 10-K,"Dana Incorporated, together with its subsidiaries, provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. The company operates through four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. It offers drive systems, including axles, driveshafts, transmission, and wheel and track drives; motion systems, such as winches, slew drives, and hub drives; and electrodynamic technologies comprised of motors, inverters, software and control systems, battery-management systems, and fuel cell plates. The company also provides sealing solutions, such as gaskets, seals, cam covers, and oil pan modules; thermal-management technologies, including transmission and engine oil cooling, battery and electronics cooling, charge air cooling, and thermal-acoustical protective shielding; and digital solutions that include active and passive system controls, as well as descriptive and predictive analytics. It serves vehicle manufacturers in the global light vehicle, medium/heavy vehicle, and off-highway markets, as well as the stationary industrial market. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio."
"Dawonsys Co.,Ltd. (KOSDAQ:A068240)",KOSDAQ:A068240,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Construction Machinery and Heavy Transportation Equipment,"Dawonsys Co.,Ltd. (KOSDAQ:A068240) - Form ","Dawonsys Co.,Ltd. engages in the rolling stock, fusion power supply and accelerator, display and semiconductor, plant, and environment-friendly system businesses in South Korea and internationally. It manufactures and sells rolling stocks; electric components for electric trains; fusion power supply products, such as the international thermal-nuclear experimental reactors; and accelerators, as well as engages in operational and maintenance business. The company also provides display/semiconductor products, including OLED deposition equipment, and atmospheric and vacuum plasma equipment; and heater power supply, thermal plasma torch system, industrial rectifiers for chemical plants, steel plants, electrolysis furnace, and seawater electrolysis chlorine injection. In addition, it is involved in the design, manufacturing, erection, and commissioning of environment-friendly systems comprising plasma torch systems, micro pulse systems, and magnetic pulse compressors. Dawonsys Co.,Ltd. was founded in 1996 and is headquartered in Ansan, South Korea."
DBS Bank Ltd.,-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"DBS Bank Ltd., together with its subsidiaries, provides various commercial banking and financial services in Singapore, Hong Kong, rest of Greater China, South and Southeast Asia, and internationally. The company offers current and savings accounts, fixed deposits, loans and home finance, cards, payments, and investment and insurance products. It also provides short-term working capital financing and specialized lending, cash management, trade finance, securities and fiduciary, corporate finance, and advisory banking; capital markets solutions; and treasury and markets products. In addition, the company offers structuring, market-making, and trading across a range of treasury products. It serves individual, bank and non-bank financial institutions, government-linked companies, large corporates, and small and medium sized businesses. The company was incorporated in 1968 and is headquartered in Singapore. DBS Bank Ltd. operates as a subsidiary of DBS Group Holdings Ltd."
DBS Bank Ltd.,-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"DBS Bank Ltd., together with its subsidiaries, provides various commercial banking and financial services in Singapore, Hong Kong, rest of Greater China, South and Southeast Asia, and internationally. The company offers current and savings accounts, fixed deposits, loans and home finance, cards, payments, and investment and insurance products. It also provides short-term working capital financing and specialized lending, cash management, trade finance, securities and fiduciary, corporate finance, and advisory banking; capital markets solutions; and treasury and markets products. In addition, the company offers structuring, market-making, and trading across a range of treasury products. It serves individual, bank and non-bank financial institutions, government-linked companies, large corporates, and small and medium sized businesses. The company was incorporated in 1968 and is headquartered in Singapore. DBS Bank Ltd. operates as a subsidiary of DBS Group Holdings Ltd."
DBS Bank Ltd.,-,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Diversified Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"DBS Bank Ltd., together with its subsidiaries, provides various commercial banking and financial services in Singapore, Hong Kong, rest of Greater China, South and Southeast Asia, and internationally. The company offers current and savings accounts, fixed deposits, loans and home finance, cards, payments, and investment and insurance products. It also provides short-term working capital financing and specialized lending, cash management, trade finance, securities and fiduciary, corporate finance, and advisory banking; capital markets solutions; and treasury and markets products. In addition, the company offers structuring, market-making, and trading across a range of treasury products. It serves individual, bank and non-bank financial institutions, government-linked companies, large corporates, and small and medium sized businesses. The company was incorporated in 1968 and is headquartered in Singapore. DBS Bank Ltd. operates as a subsidiary of DBS Group Holdings Ltd."
Deutsche Bank AG - New York Branch,-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Regional Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Deutsche Bank AG - New York Branch operates as a bank. The company offers monetary intermediation. The company is a residential mortgage bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company offers loans for purchasing or carrying securities. It was founded in 1978 and is headquartered in New York, New York."
Deutsche Bank AG - New York Branch,-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Regional Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Deutsche Bank AG - New York Branch operates as a bank. The company offers monetary intermediation. The company is a residential mortgage bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company offers loans for purchasing or carrying securities. It was founded in 1978 and is headquartered in New York, New York."
Deutsche Bank AG - New York Branch,-,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Regional Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Deutsche Bank AG - New York Branch operates as a bank. The company offers monetary intermediation. The company is a residential mortgage bank. The company's deposits include deposits in transaction accounts and individual retirement accounts and Keogh plan time deposits. The company offers domestic commercial and industrial loans. Also, it provides loans which include planned and unplanned overdrafts, to governments in non-U. S. Countries, to their official institutions, and to international and regional institutions. The company offers loans for purchasing or carrying securities. It was founded in 1978 and is headquartered in New York, New York."
"DHAUTOWARE Co., LTD (KOSDAQ:A025440)",KOSDAQ:A025440,GM Korea Company Ltd.,"Subsidiary/Investment
                         ",Supplier,Consumer Electronics,"DHAUTOWARE Co., LTD (KOSDAQ:A025440) - Form ","DHAUTOWARE Co., LTD develops and supplies in-vehicle infotainment products to motor companies worldwide. The company’s product line consists of audio, video, navigation, and communication systems; display audio systems; monitor systems; digital amplifiers; module systems; and driver assistance systems, as well as 4D vision around monitoring, lane departure warning, and forward collision systems. The company was formerly known as Daesung Eltec Co., Ltd. DHAUTOWARE Co., LTD was founded in 1979 and is headquartered in Seoul, South Korea."
"Dongguan Dingtong Precision Metal Co., Ltd. (SHSE:688668)",SHSE:688668,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Electrical Components and Equipment,"Dongguan Dingtong Precision Metal Co., Ltd. (SHSE:688668) - Form ","Dongguan Dingtong Precision Metal Co., Ltd. engages in the product development, mold manufacturing, parts processing, precision injection molding, connector assembly, and automatic over molding activities in China. The company also offers precision dies, precision mold parts, high-speed communication connectors, and automotive connectors. In addition, it provides insert molding and waterproof sealing type automotive connectors for automobile factory. The company was founded in 2003 and is based in Dongguan, China."
"Dongsung FineTec Co., Ltd. (KOSDAQ:A033500)",KOSDAQ:A033500,GM Korea Company Ltd.,"Subsidiary/Investment
                         ",Supplier,Specialty Chemicals,"Dongsung FineTec Co., Ltd. (KOSDAQ:A033500) - Form ","Dongsung FineTec Co., Ltd. engages in the manufacture and sale of cryogenic insulation products in South Korea. The company offers polyurethane systems, disaster prevention, LNG cold insulation material, and refrigerants. Dongsung FineTec Co., Ltd. was founded in 1985 and is headquartered in Busan, South Korea."
"Dongwon Metal Co., Ltd. (KOSE:A018500)",KOSE:A018500,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,"Dongwon Metal Co., Ltd. (KOSE:A018500) - Form ","Dongwon Metal Co., Ltd. engages in the production and sale of automobile parts and steel pipes in the United States, Europe, and Asia. The company offers door frames, door inner assemblies, bumper and impact beams, cowl cross members, fem carriers, battery frames, roll forming products, and press products; and equipment plants, such as roll forming machines, bending machines, welding jigs, and saw cutting machines, as well as automatic production line products. It also provides structural steel pipes for special purposes; aluminum galvanized steel pipes for vehicle structures; square and rectangular steel pipes for general structure purposes; stainless steel pipes for fuel gas piping; high corrosion resistance steel pipes; and steel pipes for hydroforming. In addition, the company offers carbon steel, C section, and spiral weld steel pipes. The company was founded in 1971 and is headquartered in Gyeongsan-si, South Korea."
Ebiquity plc (AIM:EBQ),AIM:EBQ,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Advertising,Ebiquity plc (AIM:EBQ) - Form Doc,"Ebiquity plc, together with its subsidiaries, provides media consultancy and investment analysis services in the United Kingdom, Ireland, North America, Continental Europe, and the Asia Pacific. It offers media management, media performance, marketing effectiveness, and contract compliance services. The company was formerly known as Thomson Intermedia plc and changed its name to Ebiquity plc in September 2008. Ebiquity plc was founded in 1997 and is based in London, the United Kingdom."
EDAG Engineering Group AG (XTRA:ED4),XTRA:ED4,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,ATON 2 GmbH - Form Doc,"EDAG Engineering Group AG engages in the development of vehicles, derivatives, modules, and production facilities for the automotive and commercial vehicle industries worldwide. The company operates through Vehicle Engineering, Electrics/Electronics, and Production Solutions segments. The Vehicle Engineering segment provides package and ergonomics, body assembly, surface design, and interior and exterior services; develops commercial vehicles, doors, covers, and lid systems, as well as head, rear, and small lamps; and technologies and lightweight designing services. This segment also offers vehicle integration services comprising engineering simulation and vehicle validation services, such as testing electronic vehicle functions, and derivatives, as well as provides styling, physical validation of vehicles, vehicle bodies for the physical validation of modules and systems. The Electrics/Electronics segment develops electric and electronic systems comprising architecture and networks development, systems engineering, integration tool-based architecture. The Production Solutions segment provides body manufacturing and smart factory services, product design for manufacturability, coordinated technical building equipment and plant layout, individual production solutions, networking through smart logistics, digitalization, and networking in production; and process consulting and CAx development services, as well as consulting, conceptual, and realization services. EDAG Engineering Group AG was founded in 1969 and is based in Arbon, Switzerland. The company is a subsidiary of Aton Austria Holding GmbH."
EDG Inc.,-,Lithium Nevada Corp.,"Subsidiary/Investment
                         ",Supplier,Construction and Engineering,Lithium Americas (Argentina) Corp. (TSX:LAAC) 2023 Form 40-F,"EDG Inc., a consulting company, provides consulting engineer services for major and independent, and large and small projects. Its services include project management, front-end engineering, design and drafting, project controls, environmental and regularity, procurement, high definition surveying, inspection, and construction management for digital oil field, industrial, midstream, pipeline, unconventional oil and gas, upstream, and utility sectors worldwide. The company was founded in 1982 and is based in Metairie, Louisiana."
ESI Group SA,-,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Application Software,ESI Group SA - Form Doc,"ESI Group SA, together with its subsidiaries, designs, develops, and distributes virtual prototyping software solutions in Europe, the Middle East, Africa, the Asia Pacific, and the Americas. The company offers vibro-acoustics, which allows engineers to perform accurate predictive noise and vibration design assessments early in the design cycle; virtual performance solutions; and virtual seat solutions. It also provides SimulationX, a single platform for modeling, simulating, and analyzing technical systems; SYSWELD, which enables the designers and process planners to virtually manufacture, assemble, and test physically realistic virtual assemblies; SYSTUS, which offers a complete resolution to analysis challenges in mechanics, heat transfer, and electrotechnics; PAM-STAMP that provides sheet metal forming solutions; interior solutions; PAM-COMPOSITES; IC.IDO, a virtual reality engineering software; and ProCAST, which offers casting solutions, such as die casting, sand casting, and investment casting. In addition, the company offers consulting, technical support and assistance, and training services. It serves aerospace, defense, naval, automotive and land transport, energy, ground transportation, heavy machinery industries. The company was founded in 1973 and is headquartered in Bagneux, France. As of November 3, 2023, ESI Group SA operates as subsidiary of Keysight Technologies, Inc."
Estic Corporation (TSE:6161),TSE:6161,GM Korea Company Ltd.,"Subsidiary/Investment
                         ",Supplier,Industrial Machinery and Supplies and Components,Estic Corporation (TSE:6161) - Form ,"Estic Corporation designs, manufactures, and sells electric power tools, industrial robots, and automatic assembly lines in Europe, Africa, Asia, Oceania, and the Americas. The company’s products include handheld nutrunners; fixtured nutrunners; automated machine; robotic tightening; tracer arm; servo press; and other custom-made solutions. Estic Corporation was incorporated in 1993 and is headquartered in Moriguchi, Japan."
"EVgo, Inc. (NasdaqGS:EVGO)",NasdaqGS:EVGO,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Retail,"EVgo, Inc. (NasdaqGS:EVGO) 2024 Form 10-K","EVgo, Inc. owns and operates a direct current fast charging network for electric vehicles (EVs) in the United States. The company offers electricity directly to drivers, who access its publicly available networked chargers; original equipment manufacturer charging and related services; fleet and rideshare public charging services; and charging as a service and fleet dedicated charging services. It also provides ancillary services, such as customization of digital applications, charging data integration, loyalty programs, access to chargers behind parking lot or garage pay gates, microtargeted advertising, and charging reservations; and hardware, design, and construction services for charging sites, as well as ongoing operations, maintenance, and networking and software integration solutions through eXtend. In addition, it offers PlugShare such as data, research, and advertising services and equipment procurement and operational services. EVgo, Inc. was incorporated in 2010 and is headquartered in Los Angeles, California.EVgo, Inc. operates as  a subsidiary of EVgo Holdings LLC."
EXEL Industries SA (ENXTPA:EXE),ENXTPA:EXE,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Agricultural and Farm Machinery,EXEL Industries SA (ENXTPA:EXE) - Form Doc,"EXEL Industries SA engages in the manufacture and sale of agricultural spraying equipment worldwide. The company provides garden watering and spraying equipment; industrial spraying equipment; and leisure and garden equipment. It offers sugar beet harvesters; sugar beet loading machinery and carrier tractors; technical hoses; ocean-going yachts, prestigious day-sailers, and neo-classic fishing and open powerboats. The company markets its products under the Hardi, Evrard, Berthoud, Tecnoma, Nicolas, Matrot, CMC, Agrifac, Exxact Robotics, GF, Apache, Wauquiez, Rhéa Marine, Tofinou, Hozelock, Laser, HOLMER, Sames, TRICOFLEX, and Cooper Pegler brands. EXEL Industries SA was incorporated in 1952 and is headquartered in Paris, France."
exp U.S. Services Inc.,-,Lithium Americas Corp. (TSX:LAC),"Subsidiary/Investment
                         ",Vendor,Construction and Engineering,Lithium Americas Corp. (TSX:LAC) 2024 Form Doc,"exp U.S. Services Inc., a consulting company, provides professional, technical, and strategic advisory services to built and natural environments in the United States. The company offers services in the areas of buildings, earth and environment, energy, industrial, infrastructure, and sustainability. Its services include building engineering, earth and environmental consulting, infrastructure engineering, planning and design, program management, and sustainability services. The company provides its services for airports, bridges, brown field development, chemical, civic and cultural, commercial and retail, education, entertainment and sports, federal, food processing, forest products, healthcare, highways and roads, hospitality and gaming, hydroelectric, justice and correctional, manufacturing, military and intelligence, mining, mission critical, nuclear, oil and gas, pipelines, ports and marine, rail and transit, renewable and alternative energy, science and technology, solid waste and recycling, telecommunications, water, and waste water projects. exp U.S. Services Inc. was formerly known as X-nth, Inc. The company was founded in 1967 and is based in Chicago, Illinois with an additional office in Houston, Texas. exp U.S. Services Inc. operates as a subsidiary of exp Global Inc."
exp U.S. Services Inc.,-,Lithium Nevada Corp.,"Subsidiary/Investment
                         ",Supplier,Construction and Engineering,Lithium Americas (Argentina) Corp. (TSX:LAAC) 2023 Form 40-F,"exp U.S. Services Inc., a consulting company, provides professional, technical, and strategic advisory services to built and natural environments in the United States. The company offers services in the areas of buildings, earth and environment, energy, industrial, infrastructure, and sustainability. Its services include building engineering, earth and environmental consulting, infrastructure engineering, planning and design, program management, and sustainability services. The company provides its services for airports, bridges, brown field development, chemical, civic and cultural, commercial and retail, education, entertainment and sports, federal, food processing, forest products, healthcare, highways and roads, hospitality and gaming, hydroelectric, justice and correctional, manufacturing, military and intelligence, mining, mission critical, nuclear, oil and gas, pipelines, ports and marine, rail and transit, renewable and alternative energy, science and technology, solid waste and recycling, telecommunications, water, and waste water projects. exp U.S. Services Inc. was formerly known as X-nth, Inc. The company was founded in 1967 and is based in Chicago, Illinois with an additional office in Houston, Texas. exp U.S. Services Inc. operates as a subsidiary of exp Global Inc."
"F.C.C. Co., Ltd. (TSE:7296)",TSE:7296,General Motors Company (NYSE:GM),"Self
                         ",Supplier,Automotive Parts and Equipment,"F.C.C. Co., Ltd. (TSE:7296) - Form Doc","F.C.C. Co., Ltd. manufactures and sells clutches and material parts for automobiles, motorcycles, and general-purpose machinery in Japan and internationally. The company operates through two segments, Motorcycle Clutches and Automobile Clutches. It offers clutches, such as wet-type multi-disc, wet-type multi-disc assisted and slipper, wet-type and dry centrifugal, and racing clutches, as well as pulleys for belt converters for use in motorcycles, road sports bikes, scooters, ATVs, and racing vehicles. The company provides automobiles clutches, including automatic transmission, CVT, torque converter lockup, manual transmission, and 4WD vehicle clutches. In addition, it offers general-purpose clutches, such as FCCTRAC, a cam-type torque-sensitive limited slip differential for four-wheel ATVs, and hydraulic static transmissions for snow throwers and lawn mowers. The company was formerly known as Fuji Chemical Co., Ltd. and changed its name to F.C.C. Co., Ltd. in July 1984. F.C.C. Co., Ltd. was incorporated in 1939 and is headquartered in Hamamatsu, Japan."
"Fifth Third Bank, National Association",-,General Motors Company (NYSE:GM),"Self
                         ",Creditor,Asset Management and Custody Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Fifth Third Bank, National Association operates as a bank. The company offers demand deposits and non-interest bearing time and savings deposits. The company's deposits include deposits in transaction accounts, brokered deposits which represent funds, retail time deposits, individual retirement accounts and Keogh plan time deposits, money market deposit accounts and jumbo deposits. The company offers consumer loans, including credit card loans, revolving credit plans, personal loans and automotive loans. It provides domestic commercial and industrial loans. Also, the company offers commercial real estate loans for land development and on-site construction of industrial, commercial, residential, or farm buildings in the United States. It provides real estate-backed residential loans. In addition, the company offers commercial loans collateralized by real estate properties. In addition, it provides loans for the purpose of financing agricultural production. In addition, the company offers loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company was formerly known as Fifth Third Bank and changed its name to Fifth Third Bank, National Association in November 2019. The company was founded in 1858 and is based in Cincinnati, Ohio. Fifth Third Bank, National Association operates as a subsidiary of Fifth Third Financial Corporation."
"Fifth Third Bank, National Association",-,"General Motors Financial Company, Inc.","Subsidiary/Investment
                         ",Creditor,Asset Management and Custody Banks,General Motors Company (NYSE:GM) 2023 Form 8-K,"Fifth Third Bank, National Association operates as a bank. The company offers demand deposits and non-interest bearing time and savings deposits. The company's deposits include deposits in transaction accounts, brokered deposits which represent funds, retail time deposits, individual retirement accounts and Keogh plan time deposits, money market deposit accounts and jumbo deposits. The company offers consumer loans, including credit card loans, revolving credit plans, personal loans and automotive loans. It provides domestic commercial and industrial loans. Also, the company offers commercial real estate loans for land development and on-site construction of industrial, commercial, residential, or farm buildings in the United States. It provides real estate-backed residential loans. In addition, the company offers commercial loans collateralized by real estate properties. In addition, it provides loans for the purpose of financing agricultural production. In addition, the company offers loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company was formerly known as Fifth Third Bank and changed its name to Fifth Third Bank, National Association in November 2019. The company was founded in 1858 and is based in Cincinnati, Ohio. Fifth Third Bank, National Association operates as a subsidiary of Fifth Third Financial Corporation."
"Fifth Third Bank, National Association",-,GM Europe Treasury Company AB,"Subsidiary/Investment
                         ",Creditor,Asset Management and Custody Banks,General Motors Company (NYSE:GM) 2016 Form 8-K,"Fifth Third Bank, National Association operates as a bank. The company offers demand deposits and non-interest bearing time and savings deposits. The company's deposits include deposits in transaction accounts, brokered deposits which represent funds, retail time deposits, individual retirement accounts and Keogh plan time deposits, money market deposit accounts and jumbo deposits. The company offers consumer loans, including credit card loans, revolving credit plans, personal loans and automotive loans. It provides domestic commercial and industrial loans. Also, the company offers commercial real estate loans for land development and on-site construction of industrial, commercial, residential, or farm buildings in the United States. It provides real estate-backed residential loans. In addition, the company offers commercial loans collateralized by real estate properties. In addition, it provides loans for the purpose of financing agricultural production. In addition, the company offers loans to other banks, other depository institutions, other associations, companies, and financial intermediaries. The company was formerly known as Fifth Third Bank and changed its name to Fifth Third Bank, National Association in November 2019. The company was founded in 1858 and is based in Cincinnati, Ohio. Fifth Third Bank, National Association operates as a subsidiary of Fifth Third Financial Corporation."
